年齡,性別,臉部情況,品牌,產品名稱,產品描述
(15-20),Male,有皺紋無黑斑,克蘭詩,型男保濕緊緻凝露,"膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝乳。
使用說明： 每天早上和/或晚上使用。 
產品特點：水潤補濕，肌膚明顯緊緻柔滑。 重塑臉部線條。 臉部更緊緻。 抗汙染防護。"
(15-20),Male,無皺紋有黑斑,克蘭詩,型男零油光保濕凝露,"關於產品：你需要保濕和降溫來對抗炎炎夏日嗎？超效保濕凝露是專為男仕推出的保濕凝露，質地毫不油膩，給你沁涼快感。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝膠。
使用說明： 用於臉部和頸部。
產品特點：層層滲透肌底，補充水份，強化男性肌膚的屏障。"
(15-20),Male,有皺紋有黑斑,克蘭詩,高效緊膚乳液,"關於產品：訂定目標，延緩深度紋路與皺紋，同時緊緻肌膚，CarinsMen輕盈紋路乳霜含有野牛草與中國高良姜，可緊緻肌膚，減少損害肌膚的污染物，在CarinsMen 植物潔顏膠（Active Face Wash）後使用，不油膩的質地，帶來清爽無油光的觸感。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚。
使用說明： 早晚或於刮鬍後使用。
產品特點：減少頸紋和皺紋 緊實肌膚，明顯緊緻鬆弛部位 蘊含抗污染複合素。"
(15-20),Male,無皺紋無黑斑,克蘭詩,植物潔顏膠,"關於產品：這款潔顏膠蘊含膠草和鹿蹄草萃取，能溫和去除肌膚污垢及污染物，讓肌膚完美潔淨，柔軟因刮鬍而受傷的肌膚，帶來調理及呵護，免受日常侵害。
膚質： 混合性肌膚，乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝膠。
產品特點：清除堵塞毛孔的污垢，肌膚不再暗沉。 深層清潔肌膚及排毒，抵銷硬水造成的緊繃。"
(15-20),Female,有皺紋無黑斑,克蘭詩,SOS 野芒果滋養面膜,"關於產品:適用於極乾燥肌膚的10分鐘快速保養，具有紓緩及鎮靜的功效，無比豐盈的滋養面膜含野芒果油萃取，10分鐘柔軟和紓緩肌膚，達到深層滋潤的效果，令肌膚更為柔潤，明亮有光澤，倍感舒適。
膚質： 乾性肌膚。"
(15-20),Female,無皺紋有黑斑,克蘭詩,V型緊緻抗引力面膜,"關於產品:V型緊緻抗引力面膜能減少早上醒來或者由壓力、高溫或荷爾蒙失調而引起的浮腫。，克蘭詩肌膚護理專家專為亞洲女性研發的洗卸式面膜，高密度的慕斯質地，彷彿臉部被SPA浴巾緊緊包覆，富含紫珠等植物萃取，10分鐘順效提亮臉部，打造人人稱羨的上鏡V臉。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
產品特點:讓臉部散發光澤，提亮膚色。"
(15-20),Female,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(15-20),Female,無皺紋無黑斑,克蘭詩,純淨化妝水,"關於產品:這款無酒精化妝水蘊含有機蘆薈和有機無花果萃取，能滋潤和柔軟肌膚，蘊含[海洋益生菌]，讓肌膚天然的微生態保持平衡。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
使用說明： 早上及／或晚上使用。
產品特點:維持肌膚微生態平衡。"
(25-32),Male,有皺紋無黑斑,克蘭詩,高效緊膚乳液,"關於產品：訂定目標，延緩深度紋路與皺紋，同時緊緻肌膚，CarinsMen輕盈紋路乳霜含有野牛草與中國高良姜，可緊緻肌膚，減少損害肌膚的污染物，在CarinsMen 植物潔顏膠（Active Face Wash）後使用，不油膩的質地，帶來清爽無油光的觸感。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚。
使用說明： 早晚或於刮鬍後使用。
產品特點：減少頸紋和皺紋 緊實肌膚，明顯緊緻鬆弛部位 蘊含抗污染複合素。"
(25-32),Male,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑精華水,"關於產品:氧氣亮白淡斑精華水。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 潤澤清透乳。
使用說明： 使用於白天與晚上。
產品特點:膚色更勻淨透亮、有效淡斑、補濕、舒緩、滋養。"
